bigram,n,word1,word2,why,notes
gaston_discriminatori,1,gaston,discriminatori,ignore,"disease, chronic hepatitis"
gastric_cancer,1,gastric,cancer,cancer,
gastroenter_worldwid,1,gastroenter,worldwid,ignore,
gastrointestin_tract,1,gastrointestin,tract,ignore,
gel_electrophoresi,15,gel,electrophoresi,ignore,method
gene_bla,3,gene,bla,drug resistance;mBio,
gene_cassett,4,gene,cassett,ignore,
gene_cluster,6,gene,cluster,cluster,"not sure, rethink"
gene_constel,1,gene,constel,ignore,
gene_content,2,gene,content,ignore,
gene_encod,11,gene,encod,ignore,
gene_express,6,gene,express,ignore,
gene_fragment,1,gene,fragment,ignore,
gene_includ,2,gene,includ,ignore,
gene_involv,3,gene,involv,ignore,
gene_pool,1,gene,pool,ignore,pathogen
gene_profil,2,gene,profil,genotype,
gene_reassort,1,gene,reassort,ignore,disease
gene_region,1,gene,region,ignore,
gene_regul,1,gene,regul,ignore,
gene_reveal,1,gene,reveal,ignore,
gene_segment,2,gene,segment,ignore,
gene_sequenc,9,gene,sequenc,genome,
gene_transfer,6,gene,transfer,mBio,
gener_cephalosporin,2,gener,cephalosporin,ignore,
gener_sequenc,6,gener,sequenc,ignore,
genet_analys,1,genet,analys,ignore,
genet_analysi,5,genet,analysi,genome,
genet_background,2,genet,background,ignore,
genet_character,5,genet,character,ignore,
genet_characterist,2,genet,characterist,ignore,
genet_distanc,1,genet,distanc,ignore,
genet_distinct,2,genet,distinct,ignore,
genet_divers,24,genet,divers,genome;diversity,
genet_drift,1,genet,drift,ignore,
genet_element,8,genet,element,ignore,
genet_environ,2,genet,environ,ignore,
genet_evolut,1,genet,evolut,ignore,
genet_factor,1,genet,factor,ignore,
genet_form,1,genet,form,ignore,"pathogen, not useful"
genet_heterogen,1,genet,heterogen,ignore,
genet_lineag,3,genet,lineag,characterization,phrasing
genet_marker,3,genet,marker,ignore,
genet_polymorph,1,genet,polymorph,ignore,
genet_reassort,1,genet,reassort,ignore,disease
genet_related,4,genet,related,ignore,
genet_relationship,3,genet,relationship,ignore,
genet_sequenc,1,genet,sequenc,ignore,
genet_similar,1,genet,similar,ignore,method
genet_structur,1,genet,structur,ignore,
genet_subtyp,1,genet,subtyp,ignore,
genet_system,1,genet,system,ignore,
genet_variabl,7,genet,variabl,ignore,
genet_variant,2,genet,variant,ignore,
genet_variat,7,genet,variat,ignore,
genom_amplif,1,genom,amplif,ignore,
genom_analys,1,genom,analys,ignore,
genom_analysi,14,genom,analysi,genome,
genom_base,1,genom,base,genome,
genom_character,3,genom,character,genome,
genom_comparison,3,genom,comparison,genome,
genom_composit,1,genom,composit,genome,"not sure, rethink"
genom_constel,1,genom,constel,genome,too braod
genom_delet,1,genom,delet,ignore,phrasing
genom_divers,4,genom,divers,genome;diversity,too broad
genom_dna,5,genom,dna,genome,
genom_encod,1,genom,encod,genome,DBL CHECK
genom_evolut,1,genom,evolut,genome,
genom_island,7,genom,island,drug resistance;genome,
genom_length,1,genom,length,genome,too broad
genom_level,1,genom,level,ignore,"possibly complete genome, but there might be better terms"
genom_multilocu,1,genom,multilocu,ignore,
genom_nflg,1,genom,nflg,genome,
genom_region,7,genom,region,genome,
genom_reveal,1,genom,reveal,ignore,
genom_segment,2,genom,segment,genome,
genom_sequenc,35,genom,sequenc,genome,
genom_wide,15,genom,wide,genome,
genotyp_analysi,1,genotyp,analysi,genotype,
genotyp_assai,1,genotyp,assai,ignore,
genotyp_cluster,1,genotyp,cluster,cluster;genotype,"not sure, rethink"
genotyp_combin,1,genotyp,combin,genotype,"immune response, not sure how to consider this"
genotyp_constel,1,genotyp,constel,genotype,"pathogen, not useful"
genotyp_data,1,genotyp,data,ignore,
genotyp_distribut,2,genotyp,distribut,genotype,
genotyp_famili,1,genotyp,famili,genotype,
genotyp_iii,2,genotyp,iii,genotype,
genotyp_method,2,genotyp,method,ignore,
genotyp_strain,1,genotyp,strain,genotype,
genotyp_subgenotyp,1,genotyp,subgenotyp,genotype,
genotyp_techniqu,1,genotyp,techniqu,genotype,
geograph_distribut,5,geograph,distribut,outbreak;international,
geograph_locat,2,geograph,locat,geography,
geograph_origin,4,geograph,origin,geography,
geograph_region,3,geograph,region,geography,
german_outbreak,1,german,outbreak,outbreak,
global_gene,1,global,gene,ignore,"pathogen, not useful"
global_hiv,1,global,hiv,ignore,"pathogen, not useful"
global_influenza,1,global,influenza,ignore,
glycopeptid_resist,1,glycopeptid,resist,drug resistance,
glycosyl_site,1,glycosyl,site,ignore,
gold_standard,1,gold,standard,ignore,
grade_squamou,1,grade,squamou,ignore,
gram_neg,6,gram,neg,ignore,
guinea_pig,1,guinea,pig,ignore,
gut_microbi,1,gut,microbi,ignore,
gut_microbiom,1,gut,microbiom,genome;diversity,
gut_microbiota,2,gut,microbiota,genome;diversity,
haemolyt_uraem,1,haemolyt,uraem,ignore,
haemorrhag_fever,1,haemorrhag,fever,ignore,
hav_genom,2,hav,genom,genome,
hav_infect,1,hav,infect,ignore,
hav_rna,2,hav,rna,ignore,
hav_strain,2,hav,strain,characterization,
hbe_posit,1,hbe,posit,ignore,too broad
hbeag_neg,1,hbeag,neg,ignore,
hbeag_posit,1,hbeag,posit,ignore,too broad
hbeag_seroconvers,1,hbeag,seroconvers,ignore,
hbsag_anti,1,hbsag,anti,ignore,
hbsag_neg,1,hbsag,neg,ignore,
hbsag_posit,1,hbsag,posit,ignore,too broad
hbv_carrier,1,hbv,carrier,ignore,
hbv_core,1,hbv,core,ignore,"method, super old"
hbv_dna,3,hbv,dna,ignore,
hbv_genom,3,hbv,genom,genome,
hbv_genotyp,3,hbv,genotyp,genotype,
hbv_infect,3,hbv,infect,ignore,
hbv_isol,1,hbv,isol,ignore,
hbv_mutant,1,hbv,mutant,ignore,
hbv_mutat,1,hbv,mutat,ignore,
hbv_patient,1,hbv,patient,ignore,too broad
hbv_relat,1,hbv,relat,ignore,
hbv_replic,1,hbv,replic,ignore,
hbv_sequenc,1,hbv,sequenc,ignore,
hbv_strain,1,hbv,strain,characterization,bacterial communication mechanism?
hbv_subgenotyp,1,hbv,subgenotyp,ignore,
hbv_surfac,1,hbv,surfac,ignore,
hbv_transmiss,1,hbv,transmiss,transmission,
hbv_vaccin,1,hbv,vaccin,ignore,
hbv_variant,1,hbv,variant,characterization,
hbv_viral,1,hbv,viral,ignore,
hcc_develop,1,hcc,develop,ignore,too broad
hcc_patient,1,hcc,patient,ignore,too broad
hcc_risk,1,hcc,risk,ignore,
hcv_antibodi,1,hcv,antibodi,ignore,
hcv_clearanc,1,hcv,clearanc,ignore,too broad
hcv_core,1,hcv,core,ignore,"pathogen, not useful"
hcv_genom,1,hcv,genom,genome,
hcv_genotyp,1,hcv,genotyp,genotype,
hcv_infect,3,hcv,infect,ignore,
hcv_isol,1,hcv,isol,ignore,
hcv_patient,1,hcv,patient,ignore,too broad
hcv_posit,1,hcv,posit,ignore,too broad
hcv_relat,1,hcv,relat,ignore,
hcv_rna,1,hcv,rna,ignore,
hcv_sequenc,1,hcv,sequenc,ignore,
hcv_strain,1,hcv,strain,characterization,too broad
hcv_subtyp,1,hcv,subtyp,characterization,
hcv_transmiss,2,hcv,transmiss,transmission,
hcv_viral,1,hcv,viral,ignore,
health_care,5,health,care,ignore,"probably hospital outbreak, but there are better terms"
health_organ,1,health,organ,ignore,
healthi_individu,1,healthi,individu,ignore,
healthi_subject,1,healthi,subject,ignore,
heat_stabl,1,heat,stabl,ignore,
helicobact_pylori,1,helicobact,pylori,ignore,immunity
hemagglutin_inhibit,1,hemagglutin,inhibit,ignore,
hemagglutinin_gene,1,hemagglutinin,gene,ignore,
hemolyt_urem,1,hemolyt,urem,ignore,
hemorrhag_coliti,1,hemorrhag,coliti,ignore,"immune response, not sure how to consider this"
hemorrhag_fever,2,hemorrhag,fever,ignore,"pathogen, not useful"
hepatocellular_carcinoma,3,hepatocellular,carcinoma,cancer,
herp_simplex,2,herp,simplex,ignore,
heteroduplex_mobil,1,heteroduplex,mobil,ignore,too broad
heterosexu_contact,1,heterosexu,contact,ignore,"pathogen, not useful"
heterosexu_transmiss,1,heterosexu,transmiss,transmission,
hev_antibodi,1,hev,antibodi,ignore,
hev_genom,2,hev,genom,genome,
hev_genotyp,1,hev,genotyp,genotype,pathogen- not useful
hev_infect,2,hev,infect,ignore,
hev_isol,2,hev,isol,ignore,
hev_rna,2,hev,rna,ignore,
hev_strain,2,hev,strain,characterization,
highli_activ,1,highli,activ,ignore,
highli_conserv,5,highli,conserv,ignore,"pathogen, not useful"
highli_discriminatori,2,highli,discriminatori,ignore,
highli_pathogen,1,highli,pathogen,ignore,
highli_preval,1,highli,preval,ignore,pathogen
highli_relat,1,highli,relat,ignore,"disease, cancer"
highli_resist,1,highli,resist,drug resistance,
highli_similar,1,highli,similar,ignore,method
highli_virul,5,highli,virul,ignore,
histocompat_complex,2,histocompat,complex,ignore,
hiv_aid,1,hiv,aid,ignore,
hiv_diseas,1,hiv,diseas,ignore,
hiv_epidem,1,hiv,epidem,ignore,
hiv_genom,1,hiv,genom,genome,
hiv_infect,3,hiv,infect,ignore,
hiv_neg,1,hiv,neg,ignore,immunity
hiv_patient,1,hiv,patient,ignore,too broad
hiv_posit,1,hiv,posit,ignore,pathogen
hiv_rna,1,hiv,rna,ignore,
hiv_sequenc,1,hiv,sequenc,ignore,
hiv_seroposit,1,hiv,seroposit,clinical;diagnosis,
hiv_strain,1,hiv,strain,characterization,
hiv_subtyp,1,hiv,subtyp,characterization,
hiv_transmiss,1,hiv,transmiss,transmission,
hiv_type,1,hiv,type,characterization,
hiv_variant,1,hiv,variant,ignore,
hla_allel,1,hla,allel,ignore,
hla_class,4,hla,class,ignore,"disease, too broad"
homolog_recombin,2,homolog,recombin,ignore,disease
hong_kong,2,hong,kong,ignore,too broad
horizont_gene,3,horizont,gene,ignore,
horizont_transfer,5,horizont,transfer,ignore,
hospit_acquir,1,hospit,acquir,outbreak;hospital,
hospit_environ,1,hospit,environ,outbreak;hospital,
hospit_infect,1,hospit,infect,outbreak;hospital,
hospit_outbreak,2,hospit,outbreak,outbreak,
hospit_patient,4,hospit,patient,ignore,too broad
hospit_set,1,hospit,set,ignore,
host_adapt,1,host,adapt,ignore,
host_cell,3,host,cell,ignore,
host_factor,3,host,factor,clinical,
host_genet,2,host,genet,clinical,
host_genom,1,host,genom,genome,
host_immun,2,host,immun,clinical,
host_interact,1,host,interact,clinical,
host_pathogen,1,host,pathogen,ignore,
host_rang,3,host,rang,clinical,immunity
host_respons,1,host,respons,ignore,
host_speci,1,host,speci,ignore,
host_specif,1,host,specif,ignore,
housekeep_gene,2,housekeep,gene,ignore,
hpai_viru,1,hpai,viru,ignore,
hpai_virus,1,hpai,virus,ignore,
hpv_detect,1,hpv,detect,clinical,
hpv_dna,1,hpv,dna,ignore,
hpv_genom,1,hpv,genom,genome,method
hpv_genotyp,1,hpv,genotyp,genotype,too broad
hpv_infect,1,hpv,infect,ignore,
hpv_neg,1,hpv,neg,ignore,some better terms
hpv_posit,1,hpv,posit,ignore,"ingluenza, mBio maybe?"
hpv_preval,1,hpv,preval,ignore,pathogen
hpv_relat,1,hpv,relat,ignore,
hpv_statu,1,hpv,statu,ignore,
hpv_test,1,hpv,test,ignore,
hpv_type,1,hpv,type,characterization,
hpv_vaccin,1,hpv,vaccin,vaccine,
human_adapt,1,human,adapt,ignore,
human_cell,1,human,cell,ignore,
human_coronaviru,2,human,coronaviru,ignore,
human_coronavirus,2,human,coronavirus,ignore,"cancer, too specific"
human_diseas,3,human,diseas,ignore,
human_genom,1,human,genom,genome,method
human_gut,1,human,gut,ignore,too broad
human_health,3,human,health,ignore,
human_hepat,3,human,hepat,ignore,
human_herpesviru,1,human,herpesviru,ignore,
human_host,2,human,host,ignore,phrasing?
human_immunodefici,4,human,immunodefici,ignore,
human_infect,5,human,infect,ignore,not very sure
human_influenza,1,human,influenza,ignore,
human_isol,2,human,isol,ignore,
human_leukocyt,3,human,leukocyt,ignore,HIV
human_microbiom,1,human,microbiom,genome;diversity,comon phrase
human_origin,1,human,origin,vector,"useful, but phrasing really"
human_outbreak,1,human,outbreak,outbreak,
human_pandem,1,human,pandem,ignore,
human_papilloma,1,human,papilloma,ignore,
human_papillomaviru,1,human,papillomaviru,ignore,
human_papillomavirus,1,human,papillomavirus,ignore,
human_pathogen,10,human,pathogen,ignore,too broad
human_popul,6,human,popul,ignore,pathogen
human_rotaviru,1,human,rotaviru,ignore,
human_rotavirus,1,human,rotavirus,ignore,
human_salmonellosi,1,human,salmonellosi,ignore,
human_strain,1,human,strain,ignore,
human_transmiss,3,human,transmiss,transmission,
human_tuberculosi,1,human,tuberculosi,ignore,
human_virus,1,human,virus,ignore,
hunter_gaston,1,hunter,gaston,ignore,
hypervari_region,1,hypervari,region,ignore,
identifi_hiv,1,identifi,hiv,ignore,too broad
igg_antibodi,1,igg,antibodi,ignore,
igm_antibodi,1,igm,antibodi,ignore,
iii_secret,1,iii,secret,ignore,
imipenem_resist,1,imipenem,resist,drug resistance,
immun_respons,11,immun,respons,ignore,
immun_system,3,immun,system,ignore,
immunodefici_viru,4,immunodefici,viru,ignore,pathogen
immunodefici_virus,1,immunodefici,virus,ignore,
import_influenza,1,import,influenza,ignore,
inactiv_vaccin,1,inactiv,vaccin,vaccine,
incid_set,1,incid,set,ignore,
includ_human,1,includ,human,ignore,
increas_preval,2,increas,preval,ignore,pathogen
increas_risk,4,increas,risk,ignore,phrasing
increas_virul,1,increas,virul,ignore,
indian_eai,1,indian,eai,ignore,
individu_infect,1,individu,infect,ignore,pathogen - west nile virus
infect_caus,4,infect,caus,ignore,not too sure
infect_cdi,2,infect,cdi,ignore,
infect_cell,3,infect,cell,ignore,
infect_children,1,infect,children,ignore,
infect_control,7,infect,control,control,
infect_hbv,1,infect,hbv,ignore,
infect_hcv,1,infect,hcv,ignore,
infect_hiv,1,infect,hiv,ignore,too broad
infect_human,3,infect,human,ignore,
infect_individu,2,infect,individu,ignore,
infect_mice,2,infect,mice,ignore,
infect_model,1,infect,model,ignore,
infect_obi,1,infect,obi,ignore,
infect_patient,3,infect,patient,ignore,
infect_person,1,infect,person,ignore,"might not want to keep this, but useful general term"
infect_popul,1,infect,popul,ignore,pathogen
infect_subject,1,infect,subject,ignore,
infect_uti,1,infect,uti,ignore,
infecti_diseas,9,infecti,diseas,ignore,phrasing
infecti_viru,1,infecti,viru,ignore,
inflammatori_bowel,1,inflammatori,bowel,ignore,
inflammatori_respons,1,inflammatori,respons,ignore,immunity
influenza_epidem,1,influenza,epidem,ignore,
influenza_gene,1,influenza,gene,ignore,
influenza_genom,1,influenza,genom,genome,
influenza_hpai,1,influenza,hpai,ignore,too broad
influenza_infect,1,influenza,infect,ignore,
influenza_influenza,1,influenza,influenza,ignore,
influenza_isol,1,influenza,isol,ignore,
influenza_lpai,1,influenza,lpai,ignore,
influenza_outbreak,1,influenza,outbreak,outbreak,method
influenza_pandem,1,influenza,pandem,outbreak;hospital,
influenza_season,1,influenza,season,ignore,
influenza_strain,1,influenza,strain,characterization,
influenza_subtyp,1,influenza,subtyp,characterization,
influenza_surveil,1,influenza,surveil,surveillance,
influenza_vaccin,1,influenza,vaccin,vaccine,
influenza_viral,1,influenza,viral,ignore,
influenza_viru,1,influenza,viru,ignore,
influenza_virus,1,influenza,virus,ignore,
inh_resist,1,inh,resist,drug resistance,
inhibitori_concentr,5,inhibitori,concentr,ignore,
inject_drug,2,inject,drug,ignore,
innat_immun,2,innat,immun,ignore,
insert_sequenc,6,insert,sequenc,mBio,
insert_site,1,insert,site,ignore,
insulin_resist,1,insulin,resist,drug resistance,
integr_conjug,1,integr,conjug,ignore,"disease, too braod"
intens_care,7,intens,care,outbreak;hospital,
interferon_alpha,1,interferon,alpha,ignore,
interferon_base,1,interferon,base,ignore,
interferon_ifn,1,interferon,ifn,ignore,
intermedi_host,1,intermedi,host,ignore,
intern_clone,1,intern,clone,ignore,"cancer mainy, possible diversity"
intern_databas,1,intern,databas,ignore,
intern_gene,1,intern,gene,ignore,
intern_protein,1,intern,protein,ignore,disease
interspac_short,1,interspac,short,ignore,pathogen
interspeci_transmiss,2,interspeci,transmiss,transmission,
interspers_repetit,2,interspers,repetit,ignore,
intersubtyp_recombin,1,intersubtyp,recombin,ignore,"mBio, but too broad"
intestin_microbiota,1,intestin,microbiota,genome;diversity,"possibly reservoir, but not sure"
intraepitheli_lesion,1,intraepitheli,lesion,ignore,pathogen
intraepitheli_neoplasia,1,intraepitheli,neoplasia,cancer,
intraven_drug,2,intraven,drug,ignore,phrasing
intraven_pathogen,1,intraven,pathogen,ignore,
invas_cervic,1,invas,cervic,ignore,
invas_diseas,3,invas,diseas,ignore,
invas_infect,1,invas,infect,ignore,
invas_meningococc,1,invas,meningococc,ignore,
island_vpi,1,island,vpi,mBio,
isoelectr_focus,2,isoelectr,focus,ignore,
isol_belong,12,isol,belong,ignore,phrasing
isol_carri,7,isol,carri,ignore,
isol_cluster,1,isol,cluster,cluster,"not sure, rethink"
isol_collect,12,isol,collect,ignore,"immune response, not sure how to consider this"
isol_contain,2,isol,contain,ignore,
isol_differ,1,isol,differ,ignore,"cancer, too specific"
isol_exhibit,1,isol,exhibit,ignore,
isol_harbor,3,isol,harbor,ignore,
isol_includ,4,isol,includ,ignore,
isol_obtain,6,isol,obtain,ignore,
isol_produc,3,isol,produc,ignore,pathogen
isol_recov,4,isol,recov,ignore,
isol_reveal,2,isol,reveal,ignore,
isol_test,1,isol,test,ignore,
isoniazid_inh,1,isoniazid,inh,clinical;treatment,
isoniazid_resist,1,isoniazid,resist,drug resistance,pathogen
japanes_enceph,1,japanes,enceph,ignore,
kaposi'_sarcoma,1,kaposi',sarcoma,ignore,"drug resistance, but pretty broad, have better terms"
katg_gene,1,katg,gene,drug resistance;mBio,
klebsiella_oxytoca,2,klebsiella,oxytoca,ignore,
klebsiella_pneumonia,3,klebsiella,pneumonia,ignore,pathogen
klebsiella_spp,2,klebsiella,spp,ignore,
kpc_produc,1,kpc,produc,ignore,immunity
lactam_antibiot,1,lactam,antibiot,drug resistance;mBio,
lactam_resist,1,lactam,resist,drug resistance,
lactamas_esbl,3,lactamas,esbl,drug resistance;mBio,
lactamas_gene,4,lactamas,gene,drug resistance;mBio,
lactamas_mbl,2,lactamas,mbl,drug resistance,pathogen
lactamas_produc,3,lactamas,produc,drug resistance;mBio,too broad
lam_famili,1,lam,famili,ignore,
latent_infect,1,latent,infect,ignore,pathogen-not useful
latin_american,1,latin,american,ignore,
legionella_pneumophila,1,legionella,pneumophila,ignore,pathogen
legionnair_diseas,1,legionnair,diseas,ignore,
length_genom,6,length,genom,genome,
length_hbv,1,length,hbv,ignore,
length_hiv,1,length,hiv,ignore,too broad
length_polymorph,12,length,polymorph,ignore,
length_sequenc,1,length,sequenc,ignore,
lethal_challeng,1,lethal,challeng,ignore,
leukocidin_gene,1,leukocidin,gene,ignore,
leukocidin_pvl,1,leukocidin,pvl,ignore,immunity
leukocyt_antigen,3,leukocyt,antigen,ignore,
level_resist,1,level,resist,ignore,phrasing
life_cycl,2,life,cycl,ignore,
line_drug,1,line,drug,ignore,
line_probe,1,line,probe,ignore,
lineag_specif,1,lineag,specif,ignore,
listeria_monocytogen,1,listeria,monocytogen,ignore,could be drug resistance
listeriosi_outbreak,1,listeriosi,outbreak,outbreak,phrasing
live_attenu,1,live,attenu,vaccine,
live_bird,1,live,bird,ignore,
live_poultri,1,live,poultri,ignore,"too broad, phrasing"
liver_cirrhosi,2,liver,cirrhosi,ignore,phrasing; too broad
liver_diseas,5,liver,diseas,ignore,
liver_tissu,1,liver,tissu,ignore,have more specific terms for strain
liver_transplant,1,liver,transplant,ignore,
liverpool_epidem,1,liverpool,epidem,ignore,
lo_alamo,1,lo,alamo,ignore,
loci_miru,1,loci,miru,genotype,"possibly reservoir, but not sure"
locu_miru,1,locu,miru,genotype,too specific
locu_mycobacteri,1,locu,mycobacteri,ignore,
locu_sequenc,4,locu,sequenc,ignore,
locu_variabl,6,locu,variabl,ignore,
locu_variant,1,locu,variant,ignore,
logist_regress,4,logist,regress,ignore,
low_grade,2,low,grade,ignore,
low_incid,1,low,incid,ignore,
low_level,4,low,level,ignore,
low_pathogen,1,low,pathogen,ignore,
low_preval,1,low,preval,ignore,
low_risk,1,low,risk,ignore,
lpai_virus,1,lpai,virus,ignore,
lung_infect,1,lung,infect,ignore,
macrolid_resist,1,macrolid,resist,drug resistance,
madin_darbi,1,madin,darbi,ignore,
mainland_china,1,mainland,china,ignore,
major_genotyp,1,major,genotyp,genotype,
major_histocompat,2,major,histocompat,ignore,
major_virul,1,major,virul,ignore,
mammalian_adapt,1,mammalian,adapt,ignore,
mammalian_cell,1,mammalian,cell,ignore,
mammalian_host,1,mammalian,host,ignore,too broad
mammalian_speci,1,mammalian,speci,ignore,
mass_index,1,mass,index,ignore,
matrix_gene,1,matrix,gene,ignore,
matrix_protein,1,matrix,protein,ignore,disease
maximum_likelihood,2,maximum,likelihood,ignore,"possibly complete genome, but there might be better terms"
mbl_gene,1,mbl,gene,ignore,
mdck_cell,1,mdck,cell,ignore,
mdr_isol,1,mdr,isol,ignore,
mdr_strain,1,mdr,strain,drug resistance;characterization,
mdr_tuberculosi,1,mdr,tuberculosi,drug resistance,
mec_sccmec,1,mec,sccmec,drug resistance;mBio,
mec_type,1,mec,type,mBio,
meca_gene,1,meca,gene,drug resistance;mBio,
meca_posit,1,meca,posit,ignore,"ingluenza, mBio maybe?"
mechan_involv,1,mechan,involv,ignore,
mediat_quinolon,2,mediat,quinolon,ignore,immunity
mediterranean_lam,1,mediterranean,lam,ignore,pathogen
membran_protein,6,membran,protein,ignore,disease
membran_vesicl,1,membran,vesicl,ignore,
meningitidi_serogroup,1,meningitidi,serogroup,clinical;diagnosis,
meningitidi_strain,1,meningitidi,strain,characterization,
meningococc_diseas,1,meningococc,diseas,ignore,
meningococc_vaccin,1,meningococc,vaccin,vaccine,
mer_cov,2,mer,cov,ignore,pathogen
meta_analysi,1,meta,analysi,ignore,
metabol_diseas,1,metabol,diseas,ignore,"DR, but too broad"
metagenom_approach,1,metagenom,approach,genome;diversity,
metagenom_sequenc,1,metagenom,sequenc,genome;diversity,
metallo_beta,3,metallo,beta,drug resistance;mBio,
methicillin_resist,1,methicillin,resist,drug resistance,
methicillin_sensit,1,methicillin,sensit,drug resistance,
methicillin_suscept,1,methicillin,suscept,drug resistance,
method_base,1,method,base,ignore,
method_hiv,1,method,hiv,ignore,too broad
meticillin_resist,1,meticillin,resist,drug resistance,
mhc_class,1,mhc,class,ignore,"disease, too broad"
microarrai_analysi,1,microarrai,analysi,ignore,
microbi_commun,1,microbi,commun,genome;diversity,"probably reservoir, but too general"
microbiota_composit,1,microbiota,composit,genome;diversity,
middl_east,3,middl,east,ignore,
migratori_bird,1,migratori,bird,ignore,
million_peopl,1,million,peopl,ignore,
minimum_inhibitori,5,minimum,inhibitori,ignore,
miru_loci,1,miru,loci,genotype,
miru_type,1,miru,type,characterization,
miru_vntr,2,miru,vntr,genotype,
mix_infect,3,mix,infect,ignore,
mlst_data,1,mlst,data,ignore,
mlst_databas,1,mlst,databas,ignore,
mlva_assai,1,mlva,assai,ignore,
mlva_method,1,mlva,method,ignore,
mlva_profil,1,mlva,profil,genotype,
mlva_type,4,mlva,type,characterization;genotype,
mobil_assai,1,mobil,assai,ignore,
mobil_element,3,mobil,element,ignore,drug resistance maybeƒ
mobil_genet,4,mobil,genet,ignore,
mobil_shift,1,mobil,shift,ignore,pathogen
molecular_analysi,1,molecular,analysi,ignore,
molecular_assai,1,molecular,assai,ignore,
molecular_biologi,1,molecular,biologi,ignore,
molecular_character,12,molecular,character,characterization,
molecular_characterist,2,molecular,characterist,characterization,
molecular_clone,1,molecular,clone,ignore,"cancer mainy, possible diversity"
molecular_determin,1,molecular,determin,ignore,"too broad, method"
molecular_diagnost,1,molecular,diagnost,clinical;diagnosis,"cancer, too specific"
molecular_epidemiolog,6,molecular,epidemiolog,genome,
molecular_epidemiologi,19,molecular,epidemiologi,genome,
molecular_evolut,1,molecular,evolut,ignore,
molecular_genet,2,molecular,genet,ignore,
molecular_marker,2,molecular,marker,ignore,
molecular_mechan,2,molecular,mechan,drug resistance;mBio,
molecular_method,2,molecular,method,ignore,
molecular_subtyp,4,molecular,subtyp,characterization,
molecular_techniqu,1,molecular,techniqu,ignore,
molecular_type,13,molecular,type,characterization,
monocytogen_isol,1,monocytogen,isol,ignore,
monocytogen_strain,1,monocytogen,strain,characterization,
mononuclear_cell,1,mononuclear,cell,ignore,
monophylet_cluster,1,monophylet,cluster,phylogeny,"not sure, rethink"
month_period,4,month,period,ignore,
mortal_rate,1,mortal,rate,ignore,phrasing
mosaic_structur,1,mosaic,structur,ignore,
mosquito_born,3,mosquito,born,vector,
mosquito_vector,1,mosquito,vector,vector,
mous_adapt,1,mous,adapt,ignore,
mous_model,1,mous,model,ignore,
mrsa_belong,1,mrsa,belong,drug resistance,
mrsa_carriag,1,mrsa,carriag,drug resistance,
mrsa_carrier,1,mrsa,carrier,drug resistance,
mrsa_clinic,1,mrsa,clinic,outbreak;hospital,"not sure, rethink"
mrsa_clone,1,mrsa,clone,drug resistance,phrasing
mrsa_colon,1,mrsa,colon,drug resistance,"immune response, not sure how to consider this"
mrsa_infect,1,mrsa,infect,drug resistance,
mrsa_isol,1,mrsa,isol,drug resistance,
mrsa_lineag,1,mrsa,lineag,characterization;drug resistance,"probably drug resistance, but too general"
mrsa_outbreak,1,mrsa,outbreak,outbreak,
mrsa_strain,1,mrsa,strain,drug resistance,
mrsa_transmiss,1,mrsa,transmiss,transmission;drug resistance,
mssa_isol,1,mssa,isol,drug resistance,
mssa_strain,1,mssa,strain,drug resistance,
mtb_isol,1,mtb,isol,ignore,
mtb_strain,1,mtb,strain,characterization,
mtbc_isol,1,mtbc,isol,ignore,
multi_drug,2,multi,drug,ignore,
multi_locu,5,multi,locu,ignore,
multidrug_resist,11,multidrug,resist,drug resistance,
multilocu_sequenc,15,multilocu,sequenc,genotype,
multilocu_variabl,5,multilocu,variabl,ignore,
multipl_basic,1,multipl,basic,ignore,
multipl_drug,1,multipl,drug,ignore,
multipl_locu,5,multipl,locu,ignore,
multipl_reassort,1,multipl,reassort,ignore,disease
multipl_subtyp,1,multipl,subtyp,ignore,
multiplex_pcr,2,multiplex,pcr,ignore,
multist_outbreak,2,multist,outbreak,outbreak,
mupirocin_resist,1,mupirocin,resist,drug resistance,
mutat_rate,2,mutat,rate,genome;phylogeny,phrasing
mycobacteri_genom,1,mycobacteri,genom,genome,
mycobacteri_interspers,2,mycobacteri,interspers,ignore,
mycobacterium_bovi,1,mycobacterium,bovi,ignore,
mycobacterium_tuberculosi,2,mycobacterium,tuberculosi,ignore,
naiv_patient,1,naiv,patient,ignore,too broad
nalidix_acid,2,nalidix,acid,ignore,
nasal_carriag,1,nasal,carriag,ignore,
nasal_colon,1,nasal,colon,ignore,"immune response, not sure how to consider this"
nasal_swab,2,nasal,swab,ignore,
nasopharyng_swab,1,nasopharyng,swab,ignore,
nation_park,1,nation,park,ignore,"maybe not, but likely"
natur_histori,3,natur,histori,ignore,phrasing
natur_reservoir,2,natur,reservoir,reservoir,pathogen
neck_cancer,1,neck,cancer,cancer,
neck_squamou,1,neck,squamou,ignore,
nef_gene,1,nef,gene,ignore,
neg_bacteria,3,neg,bacteria,ignore,
neg_patient,1,neg,patient,ignore,too broad
neg_sens,1,neg,sens,ignore,
neg_staphylococci,1,neg,staphylococci,ignore,phrasing
neighbor_join,1,neighbor,join,ignore,
neisseria_meningitidi,1,neisseria,meningitidi,ignore,disease
neonat_intens,3,neonat,intens,outbreak;hospital,
nervou_system,2,nervou,system,ignore,
nest_pcr,2,nest,pcr,ignore,
